Zone,region_fr,province_fr,cercle_fr,code_commune,commune_fr,douar_mere,code_localite,nom_fr,nom_ar,type_localite,milieu,population,menage,full_address,Latitude,Longitude,Google Maps Link
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410505,Anougal,-,70410505023,Toug El Kheir,توك الخير,douar,rural,140,24,"Toug El Kheir, Anougal, Al Haouz",31.0632761,-8.1382937,"https://www.google.com/maps/?q=31.06327610,-8.13829370"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410507,Azgour,-,70410507001,Adghousse,أدغوس,douar,rural,235,60,"Adghousse, Azgour, Al Haouz",31.1474177,-8.3074754,"https://www.google.com/maps/?q=31.14741770,-8.30747540"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410507,Azgour,-,70410507002,Ait Daoud,أيت داود,douar,rural,563,76,"Ait Daoud, Azgour, Al Haouz",31.1085375,-8.3697771,"https://www.google.com/maps/?q=31.10853750,-8.36977710"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410507,Azgour,-,70410507003,Ait Ihla,أيت إحلا,douar,rural,284,61,"Ait Ihla, Azgour, Al Haouz",31.1102606,-8.360730499999999,"https://www.google.com/maps/?q=31.11026060,-8.36073050"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410507,Azgour,-,70410507004,Ait Othmane,أيت عثمان,douar,rural,420,84,"Ait Othmane, Azgour, Al Haouz",31.1530729,-8.392278,"https://www.google.com/maps/?q=31.15307290,-8.39227800"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410507,Azgour,-,70410507013,Tagadirte,تكاديرت,douar,rural,160,16,"Tagadirte, Azgour, Al Haouz",31.1315781,-8.4197931,"https://www.google.com/maps/?q=31.13157810,-8.41979310"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410507,Azgour,-,70410507018,Tizgui,تزكي,douar,rural,180,46,"Tizgui, Azgour, Al Haouz",31.1838535,-8.1772222,"https://www.google.com/maps/?q=31.18385350,-8.17722220"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410507,Azgour,-,70410507019,Toulkine,تولكين,douar,rural,710,183,"Toulkine, Azgour, Al Haouz",31.1622168,-8.3314314,"https://www.google.com/maps/?q=31.16221680,-8.33143140"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410509,Dar Jamaa,-,70410509001,Addar N'Ait Ali,أدار نايت علي,douar,rural,87,17,"Addar N'Ait Ali, Dar Jamaa, Al Haouz",31.2481114,-8.3817642,"https://www.google.com/maps/?q=31.24811140,-8.38176420"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410509,Dar Jamaa,070410509001,7041050900101,Imi Ouaddar,إمي ودار,sous-douar,rural,4,1,"Imi Ouaddar, Dar Jamaa, Al Haouz",31.2494676,-8.377311599999999,"https://www.google.com/maps/?q=31.24946760,-8.37731160"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410509,Dar Jamaa,-,70410509018,Imiki,إمكي,douar,rural,193,38,"Imiki, Dar Jamaa, Al Haouz",31.2551621,-8.3934106,"https://www.google.com/maps/?q=31.25516210,-8.39341060"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410519,Tizguine,-,70410519001,Agadir Jdid,أكادير الجديد,douar,rural,38,8,"Agadir Jdid, Tizguine, Al Haouz",31.2393596,-8.3143192,"https://www.google.com/maps/?q=31.23935960,-8.31431920"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410519,Tizguine,-,70410519004,Ait Bou Haddou,أيت بوحدو,douar,rural,62,22,"Ait Bou Haddou, Tizguine, Al Haouz",31.2337759,-8.3100417,"https://www.google.com/maps/?q=31.23377590,-8.31004170"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410519,Tizguine,-,70410519005,Ait Matat,أيت مطاط,douar,rural,108,27,"Ait Matat, Tizguine, Al Haouz",31.2245929,-8.2955003,"https://www.google.com/maps/?q=31.22459290,-8.29550030"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410519,Tizguine,-,70410519006,Ait Slimane,أيت سليمان,douar,rural,66,20,"Ait Slimane, Tizguine, Al Haouz",31.2281487,-8.317399100000001,"https://www.google.com/maps/?q=31.22814870,-8.31739910"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410519,Tizguine,-,70410519007,Ait Wagna,أيت واكنة,douar,rural,196,41,"Ait Wagna, Tizguine, Al Haouz",31.2311349,-8.323388200000002,"https://www.google.com/maps/?q=31.23113490,-8.32338820"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410519,Tizguine,-,70410519011,Azrou,أزرو,douar,rural,250,61,"Azrou, Tizguine, Al Haouz",31.2162613,-8.2755935,"https://www.google.com/maps/?q=31.21626130,-8.27559350"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410519,Tizguine,-,70410519018,Ighil,إغيل,douar,rural,90,19,"Ighil, Tizguine, Al Haouz",31.2227795,-8.3029417,"https://www.google.com/maps/?q=31.22277950,-8.30294170"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410519,Tizguine,-,70410519029,Tigrar Ouzdar,تكرار أوزذار,douar,rural,158,33,"Tigrar Ouzdar, Tizguine, Al Haouz",31.2328554,-8.321505799999999,"https://www.google.com/maps/?q=31.23285540,-8.32150580"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410519,Tizguine,-,70410519033,El Mounjli,المنجلي,douar,rural,53,15,"El Mounjli, Tizguine, Al Haouz",31.23330989999999,-8.3117527,"https://www.google.com/maps/?q=31.23330990,-8.31175270"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410705,Ighil,-,70410705019,Tassila,تسيلا,douar,rural,158,29,"Tassila, Ighil, Al Haouz",30.975506,-8.264716,"https://www.google.com/maps/?q=30.97550600,-8.26471600"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410707,Ijoukak,-,70410707009,Rekte,أركت,douar,rural,135,28,"Rekte, Ijoukak, Al Haouz",30.9998317,-8.1583002,"https://www.google.com/maps/?q=30.99983170,-8.15830020"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410707,Ijoukak,-,70410707034,Tigouramine,تكرامين,douar,rural,50,10,"Tigouramine, Ijoukak, Al Haouz",31.0710606,-8.1389765,"https://www.google.com/maps/?q=31.07106060,-8.13897650"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410709,Imgdal,070410709003,7041070900303,Tizirte,تيزرت,sous-douar,rural,81,8,"Tizirte, Imgdal, Al Haouz",31.10959729999999,-8.1332373,"https://www.google.com/maps/?q=31.10959730,-8.13323730"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410709,Imgdal,-,70410709006,Anammer,أنامر,douar,rural,300,70,"Anammer, Imgdal, Al Haouz",31.069642,-8.194986000000002,"https://www.google.com/maps/?q=31.06964200,-8.19498600"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410709,Imgdal,-,70410709015,Taghzoute,تغزوت,douar,rural,112,22,"Taghzoute, Imgdal, Al Haouz",31.5605187,-7.3001917,"https://www.google.com/maps/?q=31.56051870,-7.30019170"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410713,Talat N'Yaaqoub,-,70410713004,Agourguine,أكركين,douar,rural,30,11,"Agourguine, Talat N'Yaaqoub, Al Haouz",30.9619684,-8.2118997,"https://www.google.com/maps/?q=30.96196840,-8.21189970"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410713,Talat N'Yaaqoub,-,70410713012,Arghen,أرغن,douar,rural,144,40,"Arghen, Talat N'Yaaqoub, Al Haouz",30.9822945,-8.233740599999999,"https://www.google.com/maps/?q=30.98229450,-8.23374060"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410713,Talat N'Yaaqoub,-,70410713020,Ifouriren,إفوريرن,douar,rural,123,26,"Ifouriren, Talat N'Yaaqoub, Al Haouz",30.9713416,-8.2407816,"https://www.google.com/maps/?q=30.97134160,-8.24078160"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410713,Talat N'Yaaqoub,-,70410713029,Aderg,أدرك,douar,rural,98,18,"Aderg, Talat N'Yaaqoub, Al Haouz",30.9750892,-8.248986799999999,"https://www.google.com/maps/?q=30.97508920,-8.24898680"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410713,Talat N'Yaaqoub,-,70410713033,Talat N'Yassine,تلاث نياسين,douar,rural,254,73,"Talat N'Yassine, Talat N'Yaaqoub, Al Haouz",30.9842357,-8.1724404,"https://www.google.com/maps/?q=30.98423570,-8.17244040"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410713,Talat N'Yaaqoub,-,70410713043,Tinmel,تنمل,douar,rural,245,63,"Tinmel, Talat N'Yaaqoub, Al Haouz",30.9850633,-8.227600599999999,"https://www.google.com/maps/?q=30.98506330,-8.22760060"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Asni,70410713,Talat N'Yaaqoub,-,70410713044,Tizagharine,تيزغارين,douar,rural,39,7,"Tizagharine, Talat N'Yaaqoub, Al Haouz",30.9811541,-8.2311859,"https://www.google.com/maps/?q=30.98115410,-8.23118590"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Imintanoute,71610505,Ait Haddou Youssef,-,71610505002,Assif Lahlou,أسيف الحلو,douar,rural,370,126,"Assif Lahlou, Ait Haddou Youssef, Chichaoua",30.93762139999999,-8.7226685,"https://www.google.com/maps/?q=30.93762140,-8.72266850"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Imintanoute,71610509,Lalla Aaziza,-,71610509014,Tagounit,تكنيت,douar,rural,320,80,"Tagounit, Lalla Aaziza, Chichaoua",31.0817076,-8.7007615,"https://www.google.com/maps/?q=31.08170760,-8.70076150"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610701,Adassil,-,71610701001,Argue,أرڭ,douar,rural,570,135,"Argue, Adassil, Chichaoua",31.1105316,-8.4981022,"https://www.google.com/maps/?q=31.11053160,-8.49810220"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610701,Adassil,-,71610701004,Ighermane,إغرمان,douar,rural,378,80,"Ighermane, Adassil, Chichaoua",31.1581752,-8.4369296,"https://www.google.com/maps/?q=31.15817520,-8.43692960"
10-30Km zone a risque tres eleve,Marrakech-Safi,Chichaoua,Majjat,71610701,Adassil,-,71610701007,Anamer,أنمر,douar,rural,270,60,"Anamer, Adassil, Chichaoua",31.1913824,-8.450641599999999,"https://www.google.com/maps/?q=31.19138240,-8.45064160"
